Identifiant,Distance,Dénivelé positif,Dénivelé négatif,Difficulté,Gare départ,Gare arrivée,Retour point de depart,Lien,Lignes,Département
20881341,"24,06 km",+ 131 m,- 133 m,Difficile,Verneuil-l'Etang,Verneuil-l'Etang,Oui,https://www.visorando.com/randonnee-grande-boucle-autour-de-chaumes-en-brie-/,['TRAIN P'],77 - Seine-et-Marne
27866502,"34,80 km",+ 86 m,- 136 m,Très difficile,Verneuil-l'Etang,Melun,Non,https://www.visorando.com/randonnee-de-verneuil-l-etang-a-melun-par-le-gr-r-/,['TRAIN P'],77 - Seine-et-Marne
155031,"11,57 km",+ 91 m,- 86 m,Moyenne,Verneuil-l'Etang,Verneuil-l'Etang,Oui,https://www.visorando.com/randonnee-sur-les-pas-de-couperin/,['TRAIN P'],77 - Seine-et-Marne
465086,"26,52 km",+ 22 m,- 67 m,Très difficile,Verneuil-l'Etang,Fontaine-le-Port,Non,https://www.visorando.com/randonnee-de-verneuil-l-etang-a-fontaine-le-port-p/,['TRAIN P'],77 - Seine-et-Marne
23713989,"33,07 km",+ 437 m,- 405 m,Très difficile,Vernouillet-Verneuil,Santeuil-le-Perchay,Non,https://www.visorando.com/randonnee-de-verneuil-sur-seine-a-santeuil-par-le-/,['TRAIN J'],78 - Yvelines
32870825,"18,44 km",+ 147 m,- 148 m,Moyenne,Vernouillet-Verneuil,Vernouillet-Verneuil,Oui,https://www.visorando.com/randonnee-le-long-de-la-seine-de-verneuil-sur-sein/,['TRAIN J'],78 - Yvelines
29787647,"9,38 km",+ 49 m,- 46 m,Facile,Vernouillet-Verneuil,Vernouillet-Verneuil,Oui,https://www.visorando.com/randonnee-boucle-urbaine-puis-forestiere-a-verneui/,['TRAIN J'],78 - Yvelines
858440,"17,03 km",+ 264 m,- 178 m,Moyenne,Vernouillet-Verneuil,Cergy Le Haut,Non,https://www.visorando.com/randonnee-de-verneuil-sur-seine-a-cergy-par-la-for/,['TRAIN J'],78 - Yvelines
19241790,"16,05 km",+ 160 m,- 168 m,Moyenne,Thomery,Thomery,Oui,https://www.visorando.com/randonnee-le-rocher-d-avon-le-petit-mont-chauvet-e/,['TRAIN R'],77 - Seine-et-Marne
26529459,"9,02 km",+ 50 m,- 45 m,Facile,Thomery,Thomery,Oui,https://www.visorando.com/randonnee-le-chateau-de-by-et-les-murs-a-raisin-de/,['TRAIN R'],77 - Seine-et-Marne
2712142,"18,11 km",+ 157 m,- 198 m,Difficile,Thomery,Fontaine-le-Port,Non,https://www.visorando.com/randonnee-de-thomery-a-fontaine-le-port-par-la-tou/,['TRAIN R'],77 - Seine-et-Marne
368256,"22,44 km",+ 144 m,- 144 m,Difficile,Tournan,Verneuil-l'Etang,Non,https://www.visorando.com/randonnee-de-tournan-en-brie-a-verneuil-l-etang-pa/,"['TRAIN P', 'RER E']",77 - Seine-et-Marne
64014165,"12,14 km",+ 19 m,- 19 m,Moyenne,Triel-sur-Seine,Triel-sur-Seine,Oui,https://www.visorando.com/randonnee-base-de-loisirs-de-verneuil/,['TRAIN J'],78 - Yvelines
571131,"14,29 km",+ 134 m,- 136 m,Moyenne,Us,Us,Oui,https://www.visorando.com/randonnee-la-vallee-de-la-viosne-autour-de-us/,['TRAIN J'],95 - Val-d'Oise
18012796,"23,85 km",+ 235 m,- 238 m,Difficile,Us,Us,Oui,https://www.visorando.com/randonnee-de-us-a-breancon-en-boucle/,['TRAIN J'],95 - Val-d'Oise
14303599,"22,65 km",+ 233 m,- 233 m,Difficile,Us,Us,Oui,https://www.visorando.com/randonnee-de-us-a-sagy-en-boucle/,['TRAIN J'],95 - Val-d'Oise
4535009,"6,14 km",+ 32 m,- 32 m,Facile,Villiers-le-Bel-Gonesse-Arnouville,Villiers-le-Bel-Gonesse-Arnouville,Oui,https://www.visorando.com/randonnee-sur-les-traces-de-l-ancien-tramway-de-vi/,['RER D'],95 - Val-d'Oise
24808953,"15,01 km",+ 83 m,- 83 m,Moyenne,Épernon,Épernon,Oui,https://www.visorando.com/randonnee-la-vallee-de-la-drouette-entre-epernon-e/,['GL'],28 - Eure-et-Loir
